noaa_station_id,nws_station_id,noaa_station_name,nws_station_name,display_name,lat,lon,state,station_type,supports_water_level,distance_km
8737138,KBFM,Chickasaw Creek,Mobile Downtown Airport,Chickasaw Creek (8737138),30.7819,-88.0736,Alabama,Unknown,False,15.78
8738043,KBFM,West Fowl River Bridge,Mobile Downtown Airport,West Fowl River Bridge (8738043),30.3766,-88.1586,Alabama,Unknown,False,30.49
8739803,KPGL,Bayou La Batre Bridge,Pascagoula / Jackson,Bayou La Batre Bridge (8739803),30.4057,-88.2477,Mississippi,Unknown,False,22.58
8741533,KPGL,Pascagoula NOAA Lab,Pascagoula / Jackson,Pascagoula NOAA Lab (8741533),30.367777,-88.56306,Mississippi,Unknown,False,8.47
8747437,KGPT,Bay Waveland Yacht Club,Gulfport-Biloxi Regional Airport,Bay Waveland Yacht Club (8747437),30.326342,-89.3258,Mississippi,Unknown,False,25.87
8760721,KBVE,Pilottown,Boothville,Pilottown (8760721),29.179306,-89.258835,Louisiana,Unknown,False,21.9
8760922,KBVE,"Pilots Station East, S.W. Pass",Boothville,"Pilots Station East, S.W. Pass (8760922)",28.9322,-89.4075,Louisiana,Unknown,False,44.57
8761305,KNBG,Shell Beach,"New Orleans, Naval Air Station",Shell Beach (8761305),29.86811,-89.67325,Louisiana,Unknown,False,33.38
8761724,K2GL,Grand Isle,Galliano Heliport,Grand Isle (8761724),29.263334,-89.956665,Louisiana,Unknown,False,37.41
8761927,KNEW,New Canal Station,New Orleans Lakefront Airport,New Canal Station (8761927),30.027222,-90.113335,Louisiana,Unknown,False,8.15
8761955,KMSY,Carrollton,New Orleans International Airport,Carrollton (8761955),29.932888,-90.135475,Louisiana,Unknown,False,12.21
8762075,K2GL,"Port Fourchon, Belle Pass",Galliano Heliport,"Port Fourchon, Belle Pass (8762075)",29.1142,-90.1993,Louisiana,Unknown,False,35.06
8762482,KMSY,"West Bank 1, Bayou Gauche",New Orleans International Airport,"West Bank 1, Bayou Gauche (8762482)",29.78861,-90.42028,Louisiana,Unknown,False,26.88
8764044,KP92,"Berwick, Atchafalaya River",Salt Point,"Berwick, Atchafalaya River (8764044)",29.6675,-91.23761,Louisiana,Unknown,False,9.63
8764227,KP92,"LAWMA, Amerada Pass",Salt Point,"LAWMA, Amerada Pass (8764227)",29.4496,-91.3381,Louisiana,Unknown,False,17.13
